Carry-on_Baggage,Checked_Baggage,Flight_Duration,Fare_Class_A1_ECO,Fare_Class_B,Fare_Class_B1_ECO,Fare_Class_BUSINESSFLEX,Fare_Class_BUSINESSSMART,Fare_Class_C,Fare_Class_C_Boss,Fare_Class_D,Fare_Class_D_Boss,Fare_Class_E,Fare_Class_E1_ECO,Fare_Class_ECONOMYFLEX,Fare_Class_ECONOMYSMART,Fare_Class_H,Fare_Class_H1_ECO,Fare_Class_I,Fare_Class_I1_ECO,Fare_Class_J,Fare_Class_J1_ECO,Fare_Class_K,Fare_Class_K1_ECO,Fare_Class_L,Fare_Class_L1_ECO,Fare_Class_M,Fare_Class_M1_ECO,Fare_Class_N,Fare_Class_N1_ECO,Fare_Class_O,Fare_Class_O1_ECO,Fare_Class_Q,Fare_Class_Q1_ECO,Fare_Class_R,Fare_Class_R1_ECO,Fare_Class_S,Fare_Class_T,Fare_Class_T1_ECO,Fare_Class_U,Fare_Class_U1_ECO,Fare_Class_W,Fare_Class_W1_ECO,Fare_Class_Z1_ECO,Airline_id_AL001,Airline_id_AL002,Airline_id_AL003,Airline_id_AL004,Airline_id_AL005,Arrival_Location_Code_DAD,Arrival_Location_Code_HAN,Aircraft_Type_320B,Aircraft_Type_Airbus A320,Aircraft_Type_Airbus A321,Aircraft_Type_Airbus A330,Aircraft_Type_Airbus A350,Aircraft_Type_Airbus A359,Aircraft_Type_Boeing 787,Không áp dụng đổi tên,Miễn phí chọn chỗ trước,Miễn phí chọn ghế,Miễn phí phòng chờ BSV,Miễn phí quầy ưu tiên,Áp dụng hoàn vé mất phí,Áp dụng đổi tên mất phí,Áp dụng đổi vé miễn phí,"Áp dụng đổi vé miễn phí, thu chênh lệch giá",Áp dụng đổi vé mất phí,Departure_Hour,Departure_DayOfWeek,Days Before_Departure,Total_Price
-0.9150413918917161,0.3377760855697181,0.9064129972542231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,1,0,-0.1700072802476631
-0.9150413918917161,-1.258058525403794,0.4287653137763037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,21,1,1,-0.5271475399893273
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,22,1,1,-0.5271475399893273
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,22,1,1,-0.5271475399893273
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,23,1,1,-0.5271475399893273
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,5,1,0,-0.4469553098878248
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,6,1,0,-0.4469553098878248
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,6,1,0,-0.4469553098878248
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,7,1,0,-0.4469553098878248
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,7,1,0,-0.4469553098878248
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,8,1,0,-0.4469553098878248
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,16,1,1,-0.4469553098878248
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,16,1,1,-0.4469553098878248
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,17,1,1,-0.4469553098878248
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,18,1,1,-0.4469553098878248
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,19,1,1,-0.4469553098878248
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,7,1,0,-0.4377529228269966
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,15,1,1,-0.4377529228269966
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,9,1,1,-0.36150457289442045
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,9,1,1,-0.36150457289442045
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,10,1,1,-0.36150457289442045
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,12,1,1,-0.36150457289442045
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,13,1,1,-0.36150457289442045
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,15,1,1,-0.36150457289442045
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,10,1,1,-0.3382795007885208
-0.9150413918917161,-1.258058525403794,0.9064129972542231,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,12,1,1,-0.3382795007885208
-0.2620327930056756,0.3377760855697181,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,19,1,1,-0.1700072802476631
-0.2620327930056756,0.3377760855697181,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,20,1,1,-0.1700072802476631
-0.2620327930056756,0.3377760855697181,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,20,1,1,-0.1700072802476631
-0.2620327930056756,0.3377760855697181,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,21,1,1,-0.1700072802476631
-0.2620327930056756,0.3377760855697181,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,14,1,1,-0.0705338582091873
-0.2620327930056756,0.3377760855697181,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,15,1,1,-0.0705338582091873
-0.2620327930056756,0.3377760855697181,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,16,1,1,-0.0705338582091873
-0.2620327930056756,0.3377760855697181,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,18,1,1,-0.0705338582091873
-0.2620327930056756,0.3377760855697181,0.9064129972542231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,6,1,0,0.019298967860801843
-0.2620327930056756,0.3377760855697181,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,11,1,1,0.019298967860801843
-0.2620327930056756,0.3377760855697181,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,12,1,1,0.019298967860801843
-0.2620327930056756,0.3377760855697181,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,13,1,1,0.10474970485420615
-0.2620327930056756,0.3377760855697181,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,19,1,1,0.10474970485420615
-0.2620327930056756,0.3377760855697181,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,22,1,1,0.10474970485420615
-0.2620327930056756,0.3377760855697181,0.6535406942365013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,10,1,1,0.17442492117190506
-0.2620327930056756,0.3377760855697181,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,6,1,0,0.26907804522613754
-0.2620327930056756,0.3377760855697181,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,7,1,0,0.26907804522613754
-0.2620327930056756,0.3377760855697181,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,8,1,0,0.26907804522613754
1.4793234706904324,0.9622331072550054,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,23,1,1,0.26907804522613754
-0.9150413918917161,0.9622331072550054,0.9064129972542231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,4,1,0,0.26907804522613754
1.4793234706904324,0.9622331072550054,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,20,1,1,0.26907804522613754
1.4793234706904324,0.9622331072550054,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,21,1,1,0.26907804522613754
1.4793234706904324,0.9622331072550054,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,22,1,1,0.26907804522613754
1.4793234706904324,0.9622331072550054,0.6535406942365013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,6,1,0,0.6003639794159512
0.6086453388423784,1.5173060154197051,0.9064129972542231,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,23,1,1,0.872929919979528
0.6086453388423784,1.5173060154197051,0.9064129972542231,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,5,1,0,0.872929919979528
0.6086453388423784,1.5173060154197051,0.9064129972542231,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,15,1,1,0.872929919979528
-0.2620327930056756,0.3377760855697181,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,9,1,1,0.8843233515786486
1.4793234706904324,0.9622331072550054,0.9064129972542231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,6,1,0,1.1029895965002319
1.4793234706904324,0.9622331072550054,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,7,1,0,1.1029895965002319
1.4793234706904324,1.5173060154197051,0.9064129972542231,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,6,1,0,1.342251660081764
1.4793234706904324,1.5173060154197051,0.9064129972542231,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,12,1,1,1.342251660081764
1.4793234706904324,0.9622331072550054,0.6535406942365013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,16,1,1,2.3808067712323706
1.4793234706904324,0.9622331072550054,0.9064129972542231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,17,1,1,2.3808067712323706
